FORM,STREAM,ADMNO,STREAM,ADMNO,ENG,KIS,MAT,BIO,PHY,CHE,HIS,GEO,CRE,HSC,AD,AGR,COM,FRE,GER,MUS,BST
1,ALPHA,7672,ALPHA,8111,77,76,66,77,69,65,80,58,100,40,nan,nan,79,nan,nan,nan,97
1,ALPHA,7679,CENTRAL,8017,0,90,78,50,76,88,90,80,97,nan,nan,96,76,nan,nan,nan,nan
1,ALPHA,7686,SOUTH,7985,75,100,76,83,68,76,85,83,84,73,nan,nan,87,nan,nan,nan,nan
1,ALPHA,7693,NORTH,7732,67,75,88,79,56,88,60,44,88,nan,nan,96,92,nan,nan,nan,95
1,ALPHA,7700,EAST,7990,88,95,nan,42,75,84,88,96,97,53,nan,nan,67,nan,nan,nan,90
1,ALPHA,7707,NORTH,7949,75,83,85,74,78,80,68,76,89,nan,nan,84,92,nan,nan,nan,63
1,ALPHA,7714,SOUTH,7834,81,83,66,91,48,76,80,89,93,nan,73,nan,84,nan,nan,83,nan
1,ALPHA,7721,ALPHA,7833,77,73,74,74,62,70,68,74,95,58,nan,nan,79,nan,nan,nan,90
1,ALPHA,7728,BETA,8081,67,73,58,77,96,44,63,76,92,nan,77,nan,87,nan,nan,nan,nan
1,ALPHA,7735,NORTH,7844,80,85,95,65,47,74,53,74,86,72,nan,nan,68,nan,nan,nan,97
1,ALPHA,7742,SOUTH,7782,70,90,38,89,60,84,70,70,97,nan,nan,88,100,73,nan,nan,nan
1,ALPHA,7749,BETA,8002,65,80,76,78,64,78,78,60,91,nan,nan,88,74,nan,nan,nan,nan
1,ALPHA,7756,EAST,7829,80,90,nan,65,10,78,79,88,96,nan,nan,nan,39,nan,nan,nan,58
1,ALPHA,7763,SOUTH,7999,71,88,66,91,5,22,83,85,93,nan,63,nan,97,nan,nan,84,nan
1,ALPHA,7770,nan,7752,83,85,nan,55,75,86,79,84,85,65,nan,nan,47,nan,nan,nan,80
1,ALPHA,7777,EAST,7871,83,90,nan,45,25,92,76,66,84,63,nan,nan,58,nan,nan,77,nan
1,ALPHA,7784,WEST,7979,71,93,54,57,98,84,80,82,96,nan,nan,96,95,nan,nan,nan,nan
1,ALPHA,7805,SOUTH,7754,69,70,48,94,40,76,83,87,96,nan,nan,56,92,nan,nan,nan,nan
1,ALPHA,7812,WEST,7804,70,75,40,83,67,96,80,89,98,nan,nan,76,47,nan,nan,nan,nan
1,ALPHA,7813,CENTRAL,7814,0,98,72,66,89,78,70,60,75,nan,nan,80,74,nan,nan,nan,nan
1,ALPHA,7819,EAST,8011,85,98,nan,35,97,X,77,76,67,67,nan,nan,76,nan,nan,nan,82
1,ALPHA,7826,CENTRAL,7905,0,75,66,68,62,82,80,62,84,nan,nan,80,84,nan,nan,nan,nan
1,ALPHA,7833,NORTH,7739,75,83,88,71,87,76,65,84,92,nan,nan,80,79,nan,nan,nan,92
1,ALPHA,7840,nan,7996,0,85,80,78,56,78,70,51,88,65,nan,nan,66,nan,nan,nan,nan
1,ALPHA,7847,CENTRAL,8043,0,93,74,77,62,74,90,71,77,nan,nan,76,50,nan,nan,nan,nan
1,ALPHA,7854,EAST,7815,73,98,nan,50,25,75,77,84,92,80,nan,nan,66,nan,nan,nan,81
1,ALPHA,7861,NORTH,7886,68,80,98,56,62,80,45,74,80,85,nan,nan,55,nan,nan,nan,100
1,ALPHA,7868,BETA,7708,65,56,60,72,78,84,70,78,99,41,nan,nan,82,nan,nan,nan,nan
1,ALPHA,7875,ALPHA,7777,77,89,70,77,80,82,83,74,91,nan,nan,84,71,nan,nan,nan,92
1,ALPHA,7882,CENTRAL,7919,0,85,90,72,60,80,68,60,84,nan,nan,84,89,nan,nan,nan,nan
1,ALPHA,7889,nan,7770,70,76,62,82,91,74,73,74,100,43,nan,nan,92,nan,nan,nan,72
1,ALPHA,7896,ALPHA,7868,80,73,50,71,73,76,90,74,72,nan,nan,76,66,nan,nan,nan,83
1,ALPHA,7903,nan,7950,50,85,70,83,65,26,70,72,98,nan,nan,78,89,nan,nan,nan,nan
1,ALPHA,7910,SOUTH,7971,79,90,60,74,20,34,63,81,82,82,nan,nan,47,65,nan,nan,nan
1,ALPHA,7917,WEST,7916,0,95,58,91,58,88,75,71,96,93,nan,nan,95,nan,nan,nan,nan
1,ALPHA,7924,nan,7716,0,80,60,78,51,86,85,69,93,61,nan,nan,68,75,nan,nan,nan
1,ALPHA,7931,CENTRAL,8036,0,70,38,69,53,70,83,53,86,67,nan,nan,61,88,nan,nan,nan
