STREAM,ADMNO,ENG,KIS,MAT,BIO,PHY,CHE,HIS,GEO,CRE,HSC,AD,AGR,COM,FRE,GER,MUS,BST
CENTRAL,7066,81,80,96,78,63,81,,85,75,,,,,,,,
EAST,7259,71,81,70,84,79,82,92,,70,,,,,,,,
SOUTH,7033,65,75,83,79,,82,89,,76,,,,77,,,,
EAST,7091,70,79,72,75,,81,86,,75,81,,,,,,,
SOUTH,6961,74,74,75,82,72,78,,,87,,,,,,,,90
EAST,7193,64,84,82,79,76,89,,,75,,,,,75,,,
WEST,6992,82,80,81,80,,84,,63,72,,,,,,,,82
SOUTH,7135,65,75,86,78,73,83,,,76,,,,,,,,82
NORTH,6972,63,81,87,81,67,73,,,83,,,,,,,,94
ALPHA,7173,72,84,96,83,56,81,,75,78,,,,,,,,
,6977,73,69,91,70,78,84,,,80,,,,81,,,,
EAST,7013,79,83,72,75,68,87,,,74,,,,85,,,,
SOUTH,6979,66,78,70,81,,81,,76,75,,,,,,78,,
,7043,64,70,77,75,,75,82,,75,,,,,,,,88
EAST,7187,67,74,82,81,60,81,,,77,,,,,,,,88
ALPHA,7251,73,74,69,70,,75,87,,76,,,,,,,,92
ALPHA,7263,65,81,90,76,55,75,,,76,,,,89,,,,
NORTH,7014,70,81,81,70,68,76,,,77,,,,,74,,,
NORTH,7008,67,83,93,73,63,77,,,73,,,,,,,,84
ALPHA,7083,60,70,75,82,60,81,,,78,,,,,,,,96
CENTRAL,7132,65,65,81,75,63,75,,,84,,,,,,,,89
SOUTH,7141,69,76,83,79,60,70,75,,82,,,,,,,,
ALPHA,7179,76,73,95,85,63,70,,,79,,,,69,,,,
SOUTH,7207,74,70,65,74,,78,85,,72,,,76,,,,,
ALPHA,7077,61,75,74,76,65,66,,,81,,,,82,,,,
WEST,7112,66,84,95,85,56,79,,66,67,,,,,,,,
EAST,7121,68,69,67,75,70,80,89,,71,,,,,,,,
WEST,7178,78,78,90,77,60,53,,,70,,,,,,,,82
EAST,7169,75,74,71,72,57,76,,,72,,,,,,86,,
SOUTH,6973,72,78,72,79,,65,76,,80,,,,,,64,,
,6987,70,74,83,77,55,75,,67,79,,,,,,,,
ALPHA,7035,77,73,83,76,60,77,60,,74,,,,,,,,
EAST,7019,69,73,88,65,51,81,,,72,,,,83,,,,
SOUTH,7039,67,66,65,71,,70,78,,73,,,,,,,,96
WEST,7190,66,81,82,86,52,57,,,79,79,,,,,,,
EAST,7025,71,75,62,70,,82,87,,70,,,,,55,,,
ALPHA,7149,64,69,70,76,57,73,,,82,,,,,,,,85
,6970,75,65,74,76,60,65,,,65,,,,,,,,92
CENTRAL,7012,65,76,72,80,53,70,,,71,,,,86,,,,
EAST,7181,68,75,60,76,56,86,,,86,,,,,,66,,
,7082,63,81,76,76,63,79,,,62,,74,,,,,,
WEST,7118,72,69,76,76,47,66,,,88,,,,82,,,,
EAST,6953,66,75,78,69,60,71,,,66,,,,81,,,,
SOUTH,7105,65,78,78,79,55,73,,65,77,,,,,,,,
ALPHA,7119,72,74,71,75,50,67,,,71,,,,,,,,90
SOUTH,7159,58,61,75,75,69,76,,,79,,,,,,72,,
ALPHA,7011,62,78,72,75,,53,,70,72,,,81,,,,,
,7162,55,63,82,82,60,70,,,65,,,85,,,,,
CENTRAL,7198,65,73,73,81,45,72,77,,75,,,,,,,,
EAST,7103,60,68,65,66,62,81,82,,78,,,,,,,,
NORTH,7230,65,71,72,66,60,77,,,71,,,,78,,,,
ALPHA,7143,66,65,70,75,56,75,72,,76,,,,,,,,
CENTRAL,7264,70,74,84,75,40,77,,,70,,,69,,,,,
SOUTH,6991,72,83,77,72,49,77,,61,73,,,,,,,,
ALPHA,7197,68,80,66,75,57,68,,,75,,68,,,,,,
CENTRAL,7108,62,74,71,72,56,72,77,,74,,,,,,,,
EAST,7217,57,71,58,70,,71,83,,73,,,,,,74,,
,7038,61,73,71,79,64,70,,,73,,,,,,66,,
NORTH,7182,62,78,65,64,,56,74,,85,,,,,,,,76
WEST,7124,62,86,66,73,,63,,52,76,,,,,,,,81
CENTRAL,7060,66,78,72,70,,45,70,,70,,,,,,,,78
WEST,7284,74,76,65,70,,44,75,,73,,,,75,,,,
ALPHA,7227,78,74,54,71,,62,77,,67,,,,,,74,,
NORTH,7050,54,68,74,70,62,63,85,,82,,,,,,,,
CENTRAL,7270,61,83,59,69,55,73,81,,70,,,,,,,,
,6954,63,83,66,66,,60,68,,74,,,,,,72,,
NORTH,7296,64,78,75,60,,56,,63,76,,,,,,,,80
CENTRAL,6958,75,81,56,73,58,61,61,,81,,,,,,,,
NORTH,7026,72,65,55,67,,81,,64,67,,,,76,,,,
,6960,66,68,73,70,56,62,,,73,,,,76,,,,
ALPHA,7209,69,71,62,71,,62,,60,69,,,,81,,,,
,6989,56,70,73,65,66,77,,,53,,,,81,,,,
,7007,79,81,66,57,,56,,55,77,,,71,,,,,
EAST,7055,71,71,73,68,57,62,,,70,73,,,,,,,
SOUTH,7147,61,64,65,81,56,68,88,,65,,,,,,,,
NORTH,7164,62,65,56,71,,60,,75,70,,,79,,,,,
SOUTH,7045,70,65,75,60,,72,59,,60,,,,,,,,75
WEST,7106,66,85,70,60,,63,65,,70,,,,,,60,,
WEST,7184,69,84,93,73,58,53,,60,68,,,,,,,,
ALPHA,6993,66,69,63,70,,61,,61,74,,,,,,,,76
,6965,61,68,73,67,59,72,,,74,,,,,,72,,
EAST,7037,70,73,54,68,45,83,,,67,,,,,,,,84
,7165,60,73,70,69,58,66,,69,80,,,,,,,,
SOUTH,7183,66,73,63,70,,58,69,,70,,,,,,,,74
