STREAM,ADMNO,ENG,KIS,MAT,BIO,PHY,CHE,HIS,GEO,CRE,HSC,AD,AGR,COM,FRE,GER,,MUS,BST
EAST,6947,62,73,82,56,47,56,,,75,,,,,,,,,81
WEST,6827,53,70,66,55,61,59,,,79,,,,,,,,,79
EAST,6862,66,64,78,60,49,43,,,72,,,75,,,,,,
WEST,6924,64,60,63,51,,42,,71,79,,,,,77,,,,
WEST,6743,59,72,89,48,59,39,,74,76,,,,,,,,,
NORTH,6639,53,66,66,45,,52,,68,68,,,,,,,,,83
SOUTH,6724,56,63,76,50,57,54,,75,67,,,,,,,,,
SOUTH,6604,53,62,80,41,64,56,,,66,,78,,,,,,,
CENTRAL,6733,49,56,78,47,56,53,,,75,,,,,77,,,,
EAST,6632,48,70,71,57,54,46,,,69,,,,,,,,,78
ALPHA,6744,51,70,75,46,50,47,,71,74,,,,,,,,,
EAST,6686,52,64,53,50,,47,,74,71,,,,,,,,77,
SOUTH,6820,61,64,75,48,46,48,,72,73,,,,,,,,,
EAST,6710,54,56,57,52,,46,,71,73,,,,,,,,,75
ALPHA,6860,51,66,72,50,50,51,,,69,,,,,,,,,68
EAST,6650,49,70,61,58,54,46,,72,68,,,,,,,,,
,6605,54,72,63,53,53,56,,,76,,,54,,,,,,
,6665,57,74,51,47,,41,,67,69,,,,,,,,,72
WEST,6791,48,63,75,45,51,49,,74,74,,,,,,,,,
CENTRAL,6607,51,61,68,45,,40,,68,69,,,,,,,,,72
EAST,6758,50,60,76,44,55,47,,,72,,,,,66,,,,
WEST,6641,58,59,61,46,,49,66,,69,,,65,,,,,,
EAST,6853,48,70,78,51,41,51,,65,64,,,,,,,,,
CENTRAL,6846,51,68,48,48,58,54,,,72,,,,,73,,,,
,6672,54,63,62,49,35,54,,71,81,,,,,,,,,
ALPHA,6938,54,54,71,48,52,49,,65,76,,,,,,,,,
CENTRAL,6891,51,61,56,47,53,52,,64,81,,,,,,,,,
SOUTH,6634,52,61,55,41,63,46,,,72,,74,,,,,,,
ALPHA,6660,53,64,60,46,50,40,,73,75,,,,,,,,,
SOUTH,6736,46,65,65,56,45,48,,67,66,,,,,,,,,
EAST,6948,50,68,69,51,52,39,,,67,,,,,,,,,66
NORTH,6848,51,64,38,47,,47,,73,80,,,,,,,,,66
CENTRAL,6727,47,63,62,53,50,55,,,71,,,,59,,,,,
EAST,6782,52,58,43,51,,46,,74,72,,,65,,,,,,
ALPHA,6732,54,66,52,53,41,50,,69,74,,,,,,,,,
,6725,53,62,59,38,52,50,,73,70,,,,,,,,,
WEST,6755,43,72,62,48,55,57,,,57,,,60,,,,,,
,6739,42,57,71,50,56,46,60,,69,,,,,,,,,
CENTRAL,6781,45,61,66,35,48,52,,,69,,,,,,,,77,
EAST,6794,52,70,45,53,46,41,,,71,,74,,,,,,,
,6778,46,62,60,53,50,36,,,69,,,76,,,,,,
SOUTH,6808,53,63,36,41,,41,72,,75,,,,,,,,71,
ALPHA,6833,56,69,55,46,55,47,,,60,,,,60,,,,,
EAST,6674,53,61,72,53,48,45,,,64,,,,,,55,C+,,
,6633,59,51,63,50,47,48,,,75,,,,58,,,,,
NORTH,6819,50,55,71,52,54,42,,58,69,,,,,,,,,
WEST,6737,48,66,44,42,,42,,70,74,,,,,,,,,67
ALPHA,6890,47,66,68,47,53,40,,64,65,,,,,,,,,
CENTRAL,6649,44,65,63,45,47,55,,,68,,,60,,,,,,
NORTH,6831,44,61,55,41,,45,62,,72,,,,,,,,,66
SOUTH,6706,54,65,65,39,50,41,,,71,,,,,,,,,64
ALPHA,6654,48,58,67,50,,49,,61,57,,,,57,,,,,
CENTRAL,6936,53,50,65,49,53,47,,64,66,,,,,,,,,
WEST,6761,51,70,48,38,,38,70,,74,,,,,57,,,,
ALPHA,6851,52,68,52,52,47,40,69,,65,,,,,,,,,
WEST,6713,44,71,50,50,52,49,,,74,,,55,,,,,,
ALPHA,6928,54,68,50,50,51,37,,,70,,,60,,,,,,
EAST,6764,54,38,56,55,,42,,63,68,,,,,69,,,,
SOUTH,6812,55,63,63,34,49,46,66,,68,,,,,,,,,
,6726,48,53,60,57,53,36,,,65,,66,,,,,,,
ALPHA,6810,53,58,81,41,36,39,70,,63,,,,,,,,,
,6613,41,61,55,43,56,43,,,74,,,,,,,,,66
CENTRAL,6697,50,59,57,41,,50,,72,65,,,,,,,,,44
WEST,6935,56,56,51,36,,42,,64,64,,,,,,,,,73
NORTH,6735,49,56,55,46,,41,,65,72,,,,53,,,,,
SOUTH,6670,53,61,67,44,43,45,,,69,,,56,,,,,,
SOUTH,6814,52,74,40,41,45,39,72,,74,,,,,,,,,
WEST,6629,48,68,53,43,,46,,50,71,,,,,,,,,57
ALPHA,6866,54,65,33,36,,26,71,,76,,,,,,,,,71
WEST,6689,45,61,56,39,,43,67,,60,,,,,,60,B-,,
ALPHA,6762,52,58,52,46,37,49,,69,72,,,,,,,,,
WEST,6923,49,53,67,48,50,48,,,59,,,,,,,,,62
ALPHA,6720,60,66,50,43,44,42,,,69,,,,,,58,C+,,
EAST,6680,51,65,52,37,44,39,,,73,,,,,,,,,70
NORTH,6869,54,62,44,43,,40,,63,67,,,,,,60,B-,,
,6772,47,54,70,38,,44,,67,61,,,50,,,,,,
SOUTH,6796,49,61,65,38,41,45,,69,62,,,,,,,,,
,6785,44,62,45,39,,40,56,,78,,,,,,,,,66
WEST,6844,47,68,47,44,,39,65,,72,52,,,,,,,,
SOUTH,6628,58,66,52,44,40,50,,,70,,,,47,,,,,
WEST,6719,49,60,31,36,,36,68,,77,70,,,,,,,,
,6817,38,56,60,46,45,47,,61,72,,,,,,,,,
CENTRAL,6829,45,60,67,43,50,45,,,57,,,58,,,,,,
SOUTH,6864,51,56,40,51,48,48,,61,70,,,,,,,,,
CENTRAL,6637,53,63,54,41,49,47,,69,58,,,,,,,,,
,6752,51,65,44,43,49,41,,,72,,,,,,,,,62
EAST,6868,58,52,56,44,54,45,,,67,,,,,,53,C,,
,6753,46,68,53,47,35,40,,65,68,,,,,,,,,
,6813,54,59,60,43,46,40,,57,67,,,,,,,,,
,6825,46,65,54,33,46,50,,58,71,,,,,,,,,
NORTH,6842,60,59,36,42,,41,64,,65,,,,56,,,,,
,6647,55,57,53,39,,40,60,,68,52,,,,,,,,
WEST,6659,50,68,50,35,,32,53,,74,,,,,,,,,62
NORTH,6765,51,60,53,37,,35,,52,66,,,,,66,,,,
CENTRAL,6930,43,53,67,49,48,39,,,62,,,,,66,,,,
EAST,6914,54,59,44,48,,38,62,,76,,,,48,,,,,
ALPHA,6912,43,48,62,38,54,45,65,,66,,,,,,,,,
CENTRAL,6745,48,61,50,40,,34,52,,68,,,,,,,,,68
SOUTH,6927,51,57,61,28,,38,,51,69,,,,,,,,65,
WEST,6837,58,64,47,32,,35,63,,65,,,,,,,,,57
ALPHA,6648,46,61,48,31,,33,60,,70,,67,,,,,,,
,6802,58,57,40,46,,30,,52,66,,,,,66,,,,
